1,"01","Hodh Ech Chargui","Ø§Ù„Ø­ÙˆØ¶ Ø§Ù„Ø´Ø±Ù‚ÙŠ",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
2,"02","Hodh El Gharbi","Ø§Ù„Ø­ÙˆØ¶ Ø§Ù„ØºØ±Ø¨ÙŠ",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
3,"03","Assaba","Ø§Ù„Ø¹ØµØ§Ø¨Ø©",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
4,"04","Gorgol","ÙƒØ±ÙƒÙˆÙ„",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
5,"05","Brakna","Ø§Ù„Ø¨Ø±Ø§ÙƒÙ†Ø©",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
6,"06","Trarza","Ø§ØªØ±Ø§Ø±Ø²Ù‡",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
7,"07","Adrar","Ø£Ø¯Ø±Ø§Ø±",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
8,"08","Dakhlet Nouadhibou","Ø¯Ø§Ø®Ù„Ø© Ù†ÙˆØ§Ø°ÙŠØ¨Ùˆ",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
9,"09","Tagant","ØªÙƒØ§Ù†Øª",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
10,"10","Guidimaka","ÙƒÙŠØ¯ÙŠÙ…Ø§ØºØ§",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
11,"11","Tiris Zemmour","ØªÙŠØ±Ø³ Ø²Ù…ÙˆØ±",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
12,"12","Inchiri","Ø§Ù†Ø´ÙŠØ±ÙŠ",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
13,"13","Nouakchott Nord","Ù†ÙˆØ§ÙƒØ´ÙˆØ· Ø§Ù„Ø´Ù…Ø§Ù„ÙŠØ©",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
14,"14","Nouakchott Ouest","Ù†ÙˆØ§ÙƒØ´ÙˆØ· Ø§Ù„ØºØ±Ø¨ÙŠØ©",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
15,"15","Nouakchott Sud","Ù†ÙˆØ§ÙƒØ´ÙˆØ· Ø§Ù„Ø¬Ù†ÙˆØ¨ÙŠØ©",NULL,NULL,NULL,"2025-06-29 23:07:17.641936","2025-06-29 23:07:17.641936"
