1,01,Hodh Ech Chargui,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
2,02,Hodh El Gharbi,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
3,03,Assaba,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
4,04,Gorgol,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
5,05,Brakna,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
6,06,Trarza,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
7,07,Adrar,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
8,08,Dakhlet Nouadhibou,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
9,09,Tagant,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
10,10,Guidimaka,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
11,11,Tiris Zemmour,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
12,12,Inchiri,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
13,13,Nouakchott Nord,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
14,14,Nouakchott Ouest,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
15,15,Nouakchott Sud,,,,2025-07-10 20:27:32.157761,2025-07-10 20:27:32.157761
